dist_id,year,state_name,dist_num,div_name,reg_name,population,households,income_mean,income_median
20100101,2010,Alabama,1,East South Central,South,677124,257363,56863,42333
20100102,2010,Alabama,2,East South Central,South,666019,255597,54329,40626
20100103,2010,Alabama,3,East South Central,South,671363,262462,51754,38260
20100104,2010,Alabama,4,East South Central,South,656059,253993,50629,37889
20100105,2010,Alabama,5,East South Central,South,699978,276654,62763,46786
20100106,2010,Alabama,6,East South Central,South,732630,283127,79855,57797
20100107,2010,Alabama,7,East South Central,South,609478,232014,43387,31875
20100200,2010,Alaska,0,Pacific,West,691189,248248,82091,66521
20100401,2010,Arizona,1,Mountain,West,747702,265832,54962,42336
20100402,2010,Arizona,2,Mountain,West,938691,355636,66074,52833
20100403,2010,Arizona,3,Mountain,West,708717,280622,82006,57733
20100404,2010,Arizona,4,Mountain,West,693056,216243,48426,36542
20100405,2010,Arizona,5,Mountain,West,662452,277687,87628,60724
20100406,2010,Arizona,6,Mountain,West,931574,341172,74957,60444
20100407,2010,Arizona,7,Mountain,West,827686,280221,51089,39963
20100408,2010,Arizona,8,Mountain,West,736938,309055,68185,51230
20100501,2010,Arkansas,1,West South Central,South,683062,265420,47093,35025
20100502,2010,Arkansas,2,West South Central,South,733457,291404,60480,44379
20100503,2010,Arkansas,3,West South Central,South,799905,306901,56286,41615
20100504,2010,Arkansas,4,West South Central,South,656260,253429,47722,35424
20100601,2010,California,1,Pacific,West,694789,261899,70093,50805
20100602,2010,California,2,Pacific,West,702992,266218,59176,44266
20100603,2010,California,3,Pacific,West,768243,278630,82202,66263
20100604,2010,California,4,Pacific,West,760078,293007,82857,64849
20100605,2010,California,5,Pacific,West,691447,256707,61202,47715
20100606,2010,California,6,Pacific,West,651689,259712,99824,70712
20100607,2010,California,7,Pacific,West,650971,225233,79331,64508
20100608,2010,California,8,Pacific,West,648162,283053,100215,67894
20100609,2010,California,9,Pacific,West,638175,251066,81428,55237
20100610,2010,California,10,Pacific,West,695701,250670,105864,81518
20100611,2010,California,11,Pacific,West,775046,259300,101845,77900
20100612,2010,California,12,Pacific,West,643421,237000,113431,86482
20100613,2010,California,13,Pacific,West,652485,215912,92578,76547
20100614,2010,California,14,Pacific,West,643428,242063,135791,94875
20100615,2010,California,15,Pacific,West,664069,233086,108354,88090
20100616,2010,California,16,Pacific,West,656799,204769,98420,76454
20100617,2010,California,17,Pacific,West,649410,209378,79291,59495
20100618,2010,California,18,Pacific,West,714420,212641,55428,42658
20100619,2010,California,19,Pacific,West,748172,252082,70819,53757
20100620,2010,California,20,Pacific,West,719179,185107,46063,35085
20100621,2010,California,21,Pacific,West,766633,233803,63783,48471
20100622,2010,California,22,Pacific,West,774988,260773,72312,55679
20100623,2010,California,23,Pacific,West,682294,228628,77796,56960
20100624,2010,California,24,Pacific,West,673157,232633,100799,78937
20100625,2010,California,25,Pacific,West,811708,247630,77565,62381
20100626,2010,California,26,Pacific,West,688374,228163,101380,77092
20100627,2010,California,27,Pacific,West,673599,228136,77538,59392
20100628,2010,California,28,Pacific,West,648160,212227,80364,52152
20100629,2010,California,29,Pacific,West,642141,234657,82322,59776
20100630,2010,California,30,Pacific,West,655332,293781,131732,80507
20100631,2010,California,31,Pacific,West,623460,197385,50884,36469
20100632,2010,California,32,Pacific,West,638388,172174,65855,52719
20100633,2010,California,33,Pacific,West,643701,251639,65260,43186
20100634,2010,California,34,Pacific,West,641344,180001,51353,38383
20100635,2010,California,35,Pacific,West,655203,205198,57825,42713
20100636,2010,California,36,Pacific,West,659571,259827,95551,69375
20100637,2010,California,37,Pacific,West,645349,196639,60957,46964
20100638,2010,California,38,Pacific,West,642321,169091,65855,54326
20100639,2010,California,39,Pacific,West,643494,175875,69102,56364
20100640,2010,California,40,Pacific,West,659533,209866,87855,69707
20100641,2010,California,41,Pacific,West,777326,264191,66088,51170
20100642,2010,California,42,Pacific,West,667134,215226,107704,88819
20100643,2010,California,43,Pacific,West,731376,190844,60532,49836
20100644,2010,California,44,Pacific,West,827746,246619,91082,70452
20100645,2010,California,45,Pacific,West,873781,294236,73973,54027
20100646,2010,California,46,Pacific,West,643163,244407,103804,76031
20100647,2010,California,47,Pacific,West,624885,152364,64214,52723
